Industry ,Region,Total State Awards,Program Type ,Disbursements to Date
Public Administration,Southwest,2950000,Development,2655000
Public Administration,Northwest,3100000,Development,2200388
Public Administration,Southwest,2000000,Development,143449
Public Administration,Southeast,165000,Development,62509
Public Administration,Southeast,2500000,Development,0
Public Administration,Northwest,1605000,Development,638853
Public Administration,Southwest,2285000,Development,725153
Public Administration,Southwest,3820000,Development,609740
Public Administration,Southeast,6738100,Development,5478787
Public Administration,Northwest,700000,Development,395831
Public Administration,Northwest,750000,Development,126031
Public Administration,Southeast,429000,Development,358809
Public Administration,Southeast,2592000,Development,0
Public Administration,Southeast,1560000,Development,379374
Public Administration,Southeast,250000,Development,0
Public Administration,Northwest,5925248,Development,475650
Public Administration,Southeast,5810000,Development,0
Public Administration,Southwest,5482840,Development,608258
Public Administration,Southwest,2500000,Development,1928970
Public Administration,Southwest,2327500,Development,156422
Public Administration,Northwest,5450000,Development,1094110
Public Administration,Southwest,3580000,Development,919287
Public Administration,Northeast,1975000,Development,1223187
Public Administration,Southwest,3017428,Development,2654812
Public Administration,Southwest,2005487,Development,274222
Public Administration,Southwest,400000,Development,135764
Public Administration,Southwest,3468010,Development,0
Public Administration,Southwest,900000,Development,128773
Public Administration,Southwest,3525000,Development,340926
Public Administration,Northwest,2200000,Development,1980000
Public Administration,Southeast,1250000,Development,130886
Public Administration,Southwest,1160240,Development,300000
Public Administration,Northwest,285000,Development,37412
Public Administration,Southeast,3000000,Development,0
Public Administration,Southeast,2000000,Development,0
Public Administration,Northwest,3295000,Development,0
Public Administration,Southwest,9357000,Development,271618
Public Administration,Southeast,5599000,Development,0
Public Administration,Southeast,1197300,Development,0
Public Administration,Southwest,4283551,Development,0
Public Administration,Northwest,3036300,Development,168958
Public Administration,Northeast,949378,Development,0
Public Administration,Northeast,4133506,Development,1011120
Public Administration,Southwest,350000,Development,0
Public Administration,Northwest,2733000,Development,0
Public Administration,Northwest,311000,Development,0
Public Administration,Southeast,250000,Development,0
Public Administration,Southwest,5015000,Development,0
Public Administration,Southwest,200000,Development,0
Education Arts,Southwest,819500,Development,0
Public Administration,Southeast,1500000,Development,0
Public Administration,Northwest,4015000,Development,0
Public Administration,Northwest,1500000,Development,0
Public Administration,Northwest,2000000,Development,0
Public Administration,Southwest,2728000,Development,10256
Public Administration,Southwest,573248,Development,0
Public Administration,Southwest,500000,Development,0
Public Administration,Southwest,180000,Development,0
Public Administration,Northeast,4595000,Development,0
Public Administration,Southwest,2675000,Development,0
Public Administration,Southwest,875000,Development,0
Public Administration,Southwest,1110000,Development,0
Public Administration,Southwest,250000,Development,0
Public Administration,Northwest,324000,Development,0
Public Administration,Northwest,3690000,Development,0
Public Administration,Northwest,533082,Development,0
Public Administration,Southeast,600000,Development,0
Public Administration,Southwest,1028350,Development,0
Public Administration,Southwest,101900,Development,0
Public Administration,Southeast,2890000,Development,0
Public Administration,Southeast,19900,Development,5304
